Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-06-08 00:00:00-04:00,AAPL,308.74,317.4,301.17,301.54,77949100,-2.33,,
2026-06-09 00:00:00-04:00,AAPL,300.28,300.75,287.78,290.55,70108800,-3.24,,
2026-06-10 00:00:00-04:00,AAPL,290.74,294.75,287.38,291.58,52793300,0.29,,
2026-06-11 00:00:00-04:00,AAPL,293.72,297.0,289.59,295.63,42572500,0.65,,
2026-06-12 00:00:00-04:00,AAPL,296.03,297.14,289.62,291.13,38742100,-1.66,294.086,
2026-06-15 00:00:00-04:00,AAPL,294.12,297.78,291.7,296.42,45732600,0.78,293.062,
2026-06-16 00:00:00-04:00,AAPL,295.25,300.48,293.97,299.24,39874400,1.35,294.8,
2026-06-17 00:00:00-04:00,AAPL,300.85,302.07,294.36,295.95,42745100,-1.63,295.674,
2026-06-18 00:00:00-04:00,AAPL,298.11,300.57,295.62,298.01,85962200,-0.03,296.15,
2026-06-22 00:00:00-04:00,AAPL,297.31,302.42,296.76,297.01,44879900,-0.1,297.32599999999996,295.706
2026-06-23 00:00:00-04:00,AAPL,297.54,301.64,294.18,294.3,52010900,-1.09,296.90200000000004,294.982
2026-06-24 00:00:00-04:00,AAPL,295.36,299.7,292.94,293.08,53081900,-0.77,295.66999999999996,295.235
2026-06-25 00:00:00-04:00,AAPL,287.4,288.8,273.75,275.15,107013700,-4.26,291.51,293.592
2026-06-26 00:00:00-04:00,AAPL,275.0,285.95,274.21,283.78,261775500,3.19,288.664,292.407
2026-06-29 00:00:00-04:00,AAPL,286.73,288.37,279.85,281.74,66427000,-1.74,285.61,291.468
2026-06-30 00:00:00-04:00,AAPL,281.17,289.94,280.7,289.36,65100200,2.91,284.622,290.762
2026-07-01 00:00:00-04:00,AAPL,293.44,296.59,289.2,294.38,50164200,0.32,284.88199999999995,290.27599999999995
2026-07-02 00:00:00-04:00,AAPL,294.12,309.42,293.68,308.63,75352800,4.93,291.57800000000003,291.544
2026-07-06 00:00:00-04:00,AAPL,307.36,314.2,307.0,312.66,53590000,1.72,297.354,293.00899999999996
2026-07-07 00:00:00-04:00,AAPL,315.29,315.48,310.15,310.66,42426500,-1.47,303.13800000000003,294.374
2026-06-08 00:00:00-04:00,ADBE,249.06,250.74,244.25,244.99,4728000,-1.63,,
2026-06-09 00:00:00-04:00,ADBE,242.98,245.25,233.33,237.88,6747400,-2.1,,
2026-06-10 00:00:00-04:00,ADBE,233.02,238.51,231.74,233.38,5176900,0.15,,
2026-06-11 00:00:00-04:00,ADBE,229.92,232.5,218.09,218.8,17786900,-4.84,,
2026-06-12 00:00:00-04:00,ADBE,202.4,205.65,196.9,204.02,25030700,0.8,227.814,
2026-06-15 00:00:00-04:00,ADBE,206.88,211.99,205.72,206.36,9676900,-0.25,220.08800000000002,
2026-06-16 00:00:00-04:00,ADBE,205.38,210.8,203.84,207.32,7214600,0.94,213.97600000000003,
2026-06-17 00:00:00-04:00,ADBE,204.02,206.5,195.02,196.28,10731500,-3.79,206.55599999999998,
2026-06-18 00:00:00-04:00,ADBE,193.6,196.78,190.12,195.16,15852500,0.81,201.82800000000003,
